Plant code;Latijnse naam;Nederlandse naam;Oorsprong;Familie;Groep;Bloemkleur;Bloemkleurdetail;Bladkleur;Bloeimaand;Hoogte;Hoogtedetail;Habitat - licht;Habitat - grondsoort;Habitat - pH;Habitat - vochtigheid;Bijenvriendelijkheid;Bijenvriendelijkheidsdetail;Referenties;Foto's;Cultivars
PL0001;Abelia mosanensis;Abelia;uitheems;Caprifoliaceae;Heesters;wit;;oranjerode herfstkleur;5,6;101-200cm;tot 2 m;zon,halfschaduw;;zuur,neutraal;;;;California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;Abelia mosanensis 'Monia'
PL0002;Abies alba;Gewone zilverspar;uitheems;Pinaceae;Coniferen;;;donkergroene naalden;5,6;>200cm;tot 50 m;halfschaduw,schaduw;zand,leem,klei;zuur,neutraal;;pollenleverancier;51-100kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0003;Abutilon palmeri;Fluweelblad;uitheems;Malvaceae;Heesters;oranje,geel;goudoranje;zilver, blauwgrijs blad;6,7,8;101-200cm;130 tot 200 cm;zon,halfschaduw;;;droog,gemiddeld;;;California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;
PL0004;Acer buergerianum;Esdoorn;uitheems;Sapindaceae;Bomen;geel;geelgroene bloemen;frisgroen, geelrode herfstkleur;4,5;>200cm;10 m;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0005;Acer campestre;Spaanse aak,Veldesdoorn;inheems;Sapindaceae;Bomen;geel;geelgroene bloemen;lichtgroene bladeren, gele herfstkleur;5,6;>200cm;20 m;halfschaduw;leem;zuur,neutraal,kalk;gemiddeld;nectar- en pollenleverancier;101-200 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_43926148.jpg;Acer campestre 'Anny's Globe',Acer campestre 'Elsrijk',Acer campestre 'Huiberts Elegant'
PL0006;Acer capillipes;Slangenesdoorn;uitheems;Sapindaceae;Bomen;wit;lange trossen van groenwitte bloemen;warm oranjerode herfstkleur;4,5;>200cm;6 m;zon,halfschaduw;zand,leem,klei;zuur,neutraal,kalk;vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0007;Acer davidii;Chinese esdoorn;uitheems;Sapindaceae;Bomen;geel;;groot donkergroen blad, geel tot oranjerode herfstkleur;4;>200cm;7 - 9 m;zon,halfschaduw;zand,leem,klei;zuur,neutraal,kalk;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0008;Acer griseum;Papieresdoorn;uitheems;Sapindaceae;Bomen;groen,geel;groengele bloempjes;donkergroen blad, bruinrode herfstkleur;4,5;>200cm;tot 5 m;zon,halfschaduw;zand,leem;neutraal;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0009;Acer japonicum;Japanse esdoorn;uitheems;Sapindaceae;Heesters;;;varenachtig groen blad, oranjerode vlammende herfstkleur;5;>200cm;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Acer japonicum 'Aconitifolium'
PL0010;Acer macrophyllum;Grootbladige esdoorn;uitheems;Sapindaceae;Bomen;geel;klein gele bloempjes in tros;;4;>200cm;tot 30 m;zon,halfschaduw;zand,leem,klei;zuur,neutraal,kalk;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0011;Acer monspessulanum;Montpellieresdoorn;uitheems;Sapindaceae;Bomen;groen;;donkergroen blad, opvallend gele herfstkleur;5;>200cm;6 - 10 m;zon,halfschaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0012;Acer negundo;Vederesdoorn;uitheems;Sapindaceae;Bomen;geel,groen;;lichtgroene geveerde bladeren, bruingele herfstkleur;3,4,5;>200cm;12 - 15 m;zon,halfschaduw;zand,klei,leem,krijt;zuur,neutraal;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Acer negundo 'Flamingo'
PL0013;Acer opalus;Italiaanse esdoorn;uitheems;Sapindaceae;Bomen;geel,groen;groengeel;geeloranje herfstkleur;4;>200cm;10 - 12 m;zon,halfschaduw;;neutraal, kalk;vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
